date;project;scoreBitsPerSec
2023-11-22T18:58:00+01:00;bridge-operator;9412559911.18686
2023-11-22T18:58:37+01:00;bridge-operator;9412980040.575914
2023-11-22T18:59:18+01:00;bridge-operator;9414941703.693275
2023-11-22T19:00:00+01:00;bridge-operator;9413187651.751694
2023-11-22T19:00:42+01:00;bridge-operator;9413124761.07562
2023-11-22T19:01:19+01:00;bridge-operator;9412927311.25081
2023-11-22T19:02:00+01:00;bridge-operator;9414785009.299147
2023-11-22T19:02:42+01:00;bridge-operator;9414357060.804976
2023-11-22T19:03:24+01:00;bridge-operator;9414260690.85255
2023-11-22T19:04:01+01:00;bridge-operator;9414058121.83885
