date;project;scoreBitsPerSec
2023-11-25T14:44:50+01:00;hpk;7377514791.8169641
2023-11-25T14:45:37+01:00;hpk;7314824807.74625
2023-11-25T14:46:23+01:00;hpk;7460334722.5049067
2023-11-25T14:47:11+01:00;hpk;7311563791.5196018
2023-11-25T14:47:58+01:00;hpk;7327056499.64425
2023-11-25T14:48:45+01:00;hpk;7397720205.8943024
2023-11-25T14:49:31+01:00;hpk;7424789021.1185846
2023-11-25T14:50:18+01:00;hpk;7386744710.0531282
2023-11-25T14:51:04+01:00;hpk;7417643477.0127563
2023-11-25T14:51:51+01:00;hpk;7446799253.92169
