date;project;scoreBitsPerSec
2023-11-11T19:40:05+01:00;ksi;648368002.08692849
2023-11-11T19:41:44+01:00;ksi;597686925.397174
2023-11-11T19:43:29+01:00;ksi;612017226.620729
2023-11-11T19:45:11+01:00;ksi;601880778.23228
2023-11-11T19:46:53+01:00;ksi;598036489.78395653
2023-11-11T19:48:30+01:00;ksi;607124148.08940256
2023-11-11T19:50:06+01:00;ksi;527432409.41897649
2023-11-11T19:51:48+01:00;ksi;642076260.9223448
2023-11-11T19:53:28+01:00;ksi;639629739.60465968
2023-11-11T19:55:07+01:00;ksi;653960285.564629
