date;project;scoreBitsPerSec
2023-11-11T18:45:13+01:00;slurm;9414361041.8196449
2023-11-11T18:45:44+01:00;slurm;9411887144.4455662
2023-11-11T18:46:14+01:00;slurm;9411871170.9930344
2023-11-11T18:46:44+01:00;slurm;9413933011.10304
2023-11-11T18:47:15+01:00;slurm;9415169717.892067
2023-11-11T18:47:45+01:00;slurm;9415055927.3473549
2023-11-11T18:48:16+01:00;slurm;9412701041.80066
2023-11-11T18:48:46+01:00;slurm;9415214826.20837
2023-11-11T18:49:16+01:00;slurm;9412968237.1794071
2023-11-11T18:49:47+01:00;slurm;9413933399.5665
