date;project;min_latency;max_latency;mean_latency;stddev_latency
2023-11-25T13:54:42+01:00;hpk;42;2453;58.42;6.36
2023-11-25T13:55:29+01:00;hpk;47;3601;58.19;6.80
2023-11-25T13:56:15+01:00;hpk;46;4235;58.71;9.83
2023-11-25T13:57:02+01:00;hpk;45;2962;58.78;7.49
2023-11-25T13:57:49+01:00;hpk;44;3130;58.89;8.52
2023-11-25T13:58:35+01:00;hpk;45;2386;58.63;6.52
2023-11-25T13:59:22+01:00;hpk;43;2816;58.23;6.07
2023-11-25T14:00:08+01:00;hpk;44;1132;58.72;5.57
2023-11-25T14:00:55+01:00;hpk;45;2255;58.53;6.57
2023-11-25T14:01:41+01:00;hpk;46;1094;58.60;5.85
