date;project;min_latency;max_latency;mean_latency;stddev_latency
2023-11-12T19:42:34+01:00;ksi;71;5055;80.92;11.34
2023-11-12T19:44:12+01:00;ksi;69;369;80.38;7.21
2023-11-12T19:45:52+01:00;ksi;70;438;87.40;11.01
2023-11-12T19:47:33+01:00;ksi;72;656;82.13;9.12
2023-11-12T19:49:15+01:00;ksi;70;406;80.24;7.43
2023-11-12T19:50:59+01:00;ksi;71;2211;79.79;8.77
2023-11-12T19:52:41+01:00;ksi;71;656;80.52;7.86
2023-11-12T19:54:22+01:00;ksi;69;415;79.62;7.53
2023-11-12T19:56:03+01:00;ksi;71;511;80.88;7.56
2023-11-12T19:57:45+01:00;ksi;72;4015;86.63;10.80
