date;project;min_latency;max_latency;mean_latency;stddev_latency
2023-11-12T19:30:26+01:00;slurm;29;130;57.74;3.70
2023-11-12T19:30:56+01:00;slurm;29;157;57.75;4.02
2023-11-12T19:31:26+01:00;slurm;29;119;57.83;4.46
2023-11-12T19:31:56+01:00;slurm;29;137;57.72;3.96
2023-11-12T19:32:26+01:00;slurm;29;123;57.69;3.74
2023-11-12T19:32:57+01:00;slurm;29;127;57.84;4.37
2023-11-12T19:33:27+01:00;slurm;37;145;58.05;5.37
2023-11-12T19:33:57+01:00;slurm;29;131;57.69;3.68
2023-11-12T19:34:27+01:00;slurm;29;130;57.82;4.39
2023-11-12T19:34:57+01:00;slurm;29;114;57.79;4.26
