date;project;copy;scale;add;triad
2023-11-10T17:52:41+01:00;ksi;81972.0;61861.8;68498.9;69049.1
2023-11-10T17:53:58+01:00;ksi;81479.4;61847.5;68417.0;69066.7
2023-11-10T17:55:12+01:00;ksi;82152.7;61924.5;68079.7;68912.1
2023-11-10T17:56:32+01:00;ksi;82110.4;62360.7;68884.7;69080.9
2023-11-10T17:57:51+01:00;ksi;82228.2;61807.1;68211.2;68728.6
2023-11-10T17:59:09+01:00;ksi;81641.0;61319.1;68116.1;68624.1
2023-11-10T18:00:32+01:00;ksi;81416.1;61628.8;68535.8;69009.4
2023-11-10T18:01:48+01:00;ksi;82500.1;61790.6;68560.1;68839.0
2023-11-10T18:03:08+01:00;ksi;81292.8;62013.2;68331.1;68773.6
2023-11-10T18:04:26+01:00;ksi;82550.8;62962.2;68079.7;68434.7
