date;project;copy;scale;add;triad
2023-11-10T17:43:40+01:00;slurm;83415.8;62037.3;68914.4;69228.2
2023-11-10T17:43:42+01:00;slurm;82923.1;62109.7;68722.5;69347.9
2023-11-10T17:43:44+01:00;slurm;82384.6;62189.1;68938.0;69315.9
2023-11-10T17:43:46+01:00;slurm;81997.1;62254.3;68409.1;68979.1
2023-11-10T17:43:47+01:00;slurm;82329.0;62308.0;69034.9;69275.8
2023-11-10T17:43:49+01:00;slurm;82614.8;62307.5;68779.8;69132.1
2023-11-10T17:43:51+01:00;slurm;82456.5;62092.4;68746.4;68999.0
2023-11-10T17:43:53+01:00;slurm;82321.0;62385.6;69118.4;69315.9
2023-11-10T17:43:55+01:00;slurm;82466.6;62298.2;68783.5;69212.0
2023-11-10T17:43:57+01:00;slurm;82759.5;62204.1;68922.0;69168.2
