date;project;readthroughput;writethroughput
2023-11-10T18:30:48+01:00;slurm;4079.74;8.29
2023-11-10T18:31:21+01:00;slurm;4071.27;16.83
2023-11-10T18:31:50+01:00;slurm;4189.00;14.82
2023-11-10T18:32:18+01:00;slurm;4833.65;16.71
2023-11-10T18:32:48+01:00;slurm;4313.55;14.12
2023-11-10T18:33:15+01:00;slurm;4139.14;15.12
2023-11-10T18:33:45+01:00;slurm;4455.45;13.34
2023-11-10T18:34:13+01:00;slurm;4809.32;16.50
2023-11-10T18:34:42+01:00;slurm;4322.17;14.94
2023-11-10T18:35:11+01:00;slurm;4635.93;19.02
