date;project;readthroughput;writethroughput
2023-11-10T18:21:08+01:00;slurm;4395.48;124.09
2023-11-10T18:21:40+01:00;slurm;4480.33;102.29
2023-11-10T18:22:16+01:00;slurm;4391.93;140.51
2023-11-10T18:22:54+01:00;slurm;4349.79;130.44
2023-11-10T18:23:33+01:00;slurm;4386.50;110.02
2023-11-10T18:24:10+01:00;slurm;4391.16;156.75
2023-11-10T18:24:38+01:00;slurm;4425.98;88.20
2023-11-10T18:25:08+01:00;slurm;4401.67;113.56
2023-11-10T18:25:46+01:00;slurm;4406.04;143.88
2023-11-10T18:26:18+01:00;slurm;4325.12;88.08
