date;driver;scoreBitsPerSec
2025-07-31T16:06:41+02:00;baseline;9416084316.99078
2025-07-31T16:06:41+02:00;baseline;9415921537.4248734
2025-07-31T16:06:41+02:00;baseline;9414969564.2629
2025-07-31T16:06:41+02:00;baseline;9415517026.1684265
2025-07-31T16:06:41+02:00;baseline;9415573576.9131031
2025-07-31T16:06:41+02:00;baseline;9414518115.378624
2025-07-31T16:06:41+02:00;baseline;9414377209.23563
2025-07-31T16:06:41+02:00;baseline;9415898090.4118862
2025-07-31T16:06:41+02:00;baseline;9415988831.4971943
2025-07-31T16:06:41+02:00;baseline;9415629063.1348629
