date;driver;scoreBitsPerSec
2025-07-31T16:06:41+02:00;nerdctl-slirp4netns;761227062.09206057
2025-07-31T16:06:41+02:00;nerdctl-slirp4netns;657454324.94640267
2025-07-31T16:06:41+02:00;nerdctl-slirp4netns;589261616.738044
2025-07-31T16:06:41+02:00;nerdctl-slirp4netns;614776829.99024
2025-07-31T16:06:41+02:00;nerdctl-slirp4netns;644173063.56222355
2025-07-31T16:06:41+02:00;nerdctl-slirp4netns;649414389.31846046
2025-07-31T16:06:41+02:00;nerdctl-slirp4netns;608170775.60545254
2025-07-31T16:06:41+02:00;nerdctl-slirp4netns;696251493.32696176
2025-07-31T16:06:41+02:00;nerdctl-slirp4netns;721067469.791888
2025-07-31T16:06:41+02:00;nerdctl-slirp4netns;627395296.446735
