date;driver;scoreBitsPerSec
2025-07-31T16:06:41+02:00;podman-pasta;2573784082.7765646
2025-07-31T16:06:41+02:00;podman-pasta;4482844756.1912222
2025-07-31T16:06:41+02:00;podman-pasta;1784425795.661541
2025-07-31T16:06:41+02:00;podman-pasta;293599567.33585721
2025-07-31T16:06:41+02:00;podman-pasta;3260388677.6512036
2025-07-31T16:06:41+02:00;podman-pasta;5305048355.1887827
2025-07-31T16:06:41+02:00;podman-pasta;5105644611.1507273
2025-07-31T16:06:41+02:00;podman-pasta;4884115964.3999481
2025-07-31T16:06:41+02:00;podman-pasta;3837663218.6291556
2025-07-31T16:06:41+02:00;podman-pasta;4155010200.9632969
