date;driver;min_latency;max_latency;mean_latency;stddev_latency
2025-07-31T16:06:41+02:00;baseline;24;248;57.44;6.35
2025-07-31T16:06:41+02:00;baseline;24;690;57.64;5.49
2025-07-31T16:06:41+02:00;baseline;22;239;57.43;6.05
2025-07-31T16:06:41+02:00;baseline;23;238;57.60;5.41
2025-07-31T16:06:41+02:00;baseline;22;177;57.09;6.07
2025-07-31T16:06:41+02:00;baseline;24;213;57.66;5.77
2025-07-31T16:06:41+02:00;baseline;23;136;57.64;5.55
2025-07-31T16:06:41+02:00;baseline;23;202;57.05;6.03
2025-07-31T16:06:41+02:00;baseline;25;229;57.56;5.34
2025-07-31T16:06:41+02:00;baseline;24;113;57.04;6.17
