date;driver;min_latency;max_latency;mean_latency;stddev_latency
2025-07-31T16:06:41+02:00;podman-pasta;59;834;84.22;4.87
2025-07-31T16:06:41+02:00;podman-pasta;54;607;73.35;3.66
2025-07-31T16:06:41+02:00;podman-pasta;54;2935;73.59;6.47
2025-07-31T16:06:41+02:00;podman-pasta;55;5547;73.77;9.35
2025-07-31T16:06:41+02:00;podman-pasta;54;1559;73.50;4.74
2025-07-31T16:06:41+02:00;podman-pasta;54;3399;73.48;6.96
2025-07-31T16:06:41+02:00;podman-pasta;54;3572;73.95;7.49
2025-07-31T16:06:41+02:00;podman-pasta;55;436;73.96;3.66
2025-07-31T16:06:41+02:00;podman-pasta;59;1301;83.77;5.78
2025-07-31T16:06:41+02:00;podman-pasta;55;395;73.41;3.34
